datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windspeed,windspeedmax,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,uvindex,description
2023-02-05,30,16.9,23.1,28.2,16.9,22.7,8,43.7,0,0,0,,22.5,22.5,0.4,70.8,1019.3,40.4,10.3,10,Partly cloudy throughout the day.
2023-02-06,30,14.9,22.7,28.1,14.9,22.3,5.9,40.3,0,0,0,,31.4,31.4,0,59.3,1019.1,35.6,10.3,10,Partly cloudy throughout the day.
2023-02-07,29,15,22.2,27.6,15,22,10,49.4,0,0,0,,33,33,0,70,1019.6,37.4,10.3,10,Partly cloudy throughout the day.
2023-02-08,28.1,16,22.1,27.3,16,22,11.5,52.9,0,0,0,,27.9,27.9,0.4,54.6,1020.8,42.2,10.2,9,Partly cloudy throughout the day.
2023-02-09,28.1,16,22,27.1,16,21.9,10.9,51.6,0,0,0,,35.8,35.8,0.6,54.9,1021.4,38.2,10.2,9,Partly cloudy throughout the day.
2023-02-10,29.1,14.8,22.6,27.6,14.8,22.2,8,44.7,0,0,0,,36,36,0,62.9,1021.4,23,10.3,10,Partly cloudy throughout the day.
2023-02-11,28.1,16,22.1,27,16,21.9,9.3,46.8,0,0,0,,45.2,45.2,0.4,61.8,1021.9,55.3,10.3,10,Partly cloudy throughout the day.
2023-02-12,28,15,21.7,26.9,15,21.5,7.9,44.3,0,0,0,,35.5,35.5,0,61.9,1021.7,34.2,10.3,10,Partly cloudy throughout the day.
2023-02-13,28.1,13.1,21.4,26.7,13.1,21.2,5.3,39.1,0,0,0,,35.8,35.8,0.2,65.4,1021.1,22.5,10.3,10,Partly cloudy throughout the day.
2023-02-14,28.1,15.9,21.9,26.9,15.9,21.6,7.6,42.8,0,0,0,,22.3,22.3,1.1,59,1020.1,42.6,10.3,10,Partly cloudy throughout the day.
2023-02-15,28.9,16.9,22.5,27.4,16.9,22.2,8,42.4,0,0,0,,31.6,31.6,0.9,66.5,1018.5,32,10.3,10,Partly cloudy throughout the day.
